next_order,n,UF
"",4163,AC
1,117532,AC
12,507293,AC
123,8,AC
13,21,AC
132,2,AC
2,12618,AC
3,12721,AC
31,6,AC
312,2,AC
32,118,AC
"",16911,AL
1,389404,AL
12,2075685,AL
123,3,AL
13,30,AL
132,6,AL
2,33094,AL
3,57139,AL
31,3,AL
312,5,AL
32,72,AL
"",16685,AM
1,623736,AM
12,2363449,AM
123,49,AM
13,92,AM
132,9,AM
2,64540,AM
23,3,AM
3,52683,AM
31,41,AM
312,24,AM
32,1830,AM
"",4141,AP
1,148685,AP
12,387688,AP
123,6,AP
13,10,AP
132,1,AP
2,14248,AP
3,10979,AP
31,5,AP
32,50,AP
"",99145,BA
1,2262802,BA
12,9286760,BA
123,594,BA
13,438,BA
132,88,BA
2,360946,BA
23,24,BA
3,262546,BA
31,269,BA
312,145,BA
32,5037,BA
"",71573,CE
1,1234109,CE
12,5795989,CE
123,40,CE
13,875,CE
132,53,CE
2,163233,CE
23,8,CE
3,73926,CE
31,316,CE
312,65,CE
32,286,CE
"",54157,DF
1,388813,DF
12,2066721,DF
123,44,DF
13,72,DF
132,24,DF
2,144032,DF
23,6,DF
3,61269,DF
31,36,DF
312,22,DF
32,164,DF
"",22716,ES
1,481330,ES
12,2822813,ES
123,2056,ES
13,145,ES
132,33,ES
2,58241,ES
23,37,ES
3,105469,ES
31,941,ES
312,51,ES
32,1828,ES
"",55460,GO
1,894598,GO
12,4724608,GO
123,119,GO
13,158,GO
132,15,GO
2,131853,GO
23,6,GO
3,160462,GO
31,44,GO
312,23,GO
32,542,GO
"",30604,MA
1,945773,MA
12,3832884,MA
123,46,MA
13,128,MA
132,8,MA
2,101438,MA
23,7,MA
3,116472,MA
31,56,MA
312,18,MA
32,877,MA
"",150392,MG
1,2309890,MG
12,15087156,MG
123,432,MG
13,442,MG
132,159,MG
2,448561,MG
23,29,MG
3,492274,MG
31,200,MG
312,172,MG
32,18056,MG
"",22479,MS
1,329043,MS
12,1844111,MS
123,100,MS
13,144,MS
132,29,MS
2,41750,MS
23,8,MS
3,186613,MS
31,101,MS
312,40,MS
32,655,MS
"",19890,MT
1,484082,MT
12,2215989,MT
123,37,MT
13,119,MT
132,12,MT
2,67717,MT
23,3,MT
3,94213,MT
31,26,MT
312,26,MT
32,521,MT
"",27848,PA
1,1258264,PA
12,4587830,PA
123,153,PA
13,166,PA
132,165,PA
2,161329,PA
23,4,PA
3,135327,PA
31,73,PA
312,38,PA
32,910,PA
"",30031,PB
1,505865,PB
12,2892467,PB
123,42,PB
13,113,PB
132,318,PB
2,64448,PB
3,46426,PB
31,38,PB
312,10,PB
32,1136,PB
"",61177,PE
1,1351511,PE
12,6134978,PE
123,247,PE
13,241,PE
132,7,PE
2,201944,PE
23,22,PE
3,119429,PE
31,88,PE
312,29,PE
32,3299,PE
"",31595,PI
1,376769,PI
12,2388432,PI
123,63,PI
13,45,PI
132,6,PI
2,73033,PI
23,1,PI
3,52375,PI
31,25,PI
312,11,PI
32,206,PI
"",65973,PR
1,1018828,PR
12,8635200,PR
123,1182,PR
13,298,PR
132,92,PR
2,186421,PR
23,28,PR
3,334578,PR
31,122,PR
312,114,PR
32,1416,PR
"",102584,RJ
1,2153916,RJ
12,11708234,RJ
123,918,RJ
13,895,RJ
132,104,RJ
2,488446,RJ
23,71,RJ
3,375271,RJ
31,238,RJ
312,168,RJ
32,6850,RJ
"",18356,RN
1,394363,RN
12,2401569,RN
123,1845,RN
13,179,RN
132,132,RN
2,61150,RN
23,12,RN
3,59230,RN
31,240,RN
312,16,RN
32,790,RN
"",11989,RO
1,220161,RO
12,1043360,RO
123,24,RO
13,68,RO
132,9,RO
2,30985,RO
3,32204,RO
31,31,RO
312,22,RO
32,627,RO
"",3911,RR
1,115242,RR
12,296079,RR
123,29,RR
13,11,RR
132,1,RR
2,14387,RR
3,11009,RR
31,16,RR
32,102,RR
"",50152,RS
1,1010896,RS
12,8604580,RS
123,263,RS
13,330,RS
132,59,RS
2,132710,RS
23,9,RS
3,307963,RS
31,124,RS
312,88,RS
32,1654,RS
"",69655,SC
1,761471,SC
12,5305405,SC
123,260,SC
13,174,SC
132,77,SC
2,160022,SC
23,11,SC
3,248910,SC
31,88,SC
312,73,SC
32,713,SC
"",16757,SE
1,299593,SE
12,1462097,SE
123,656,SE
13,42,SE
132,5,SE
2,43665,SE
23,28,SE
3,38478,SE
31,25,SE
312,11,SE
32,259,SE
"",190103,SP
1,5343488,SP
12,35797732,SP
123,461,SP
13,412,SP
132,281,SP
2,699574,SP
23,28,SP
3,1221270,SP
31,355,SP
312,246,SP
32,256,SP
"",10452,TO
1,212915,TO
12,912030,TO
123,10,TO
13,48,TO
132,1,TO
2,26589,TO
23,1,TO
3,31741,TO
31,8,TO
312,4,TO
32,53,TO
