dose,agegroup,n,UF
(D1+D2) only,1,0,AC
(D1+D2) only,2,108,AC
(D1+D2) only,3,53394,AC
(D1+D2) only,4,102977,AC
(D1+D2) only,5,73146,AC
(D1+D2) only,6,60502,AC
(D1+D2) only,7,38190,AC
(D1+D2) only,8,18412,AC
(D1+D2) only,9,8269,AC
(D1+D2) only,10,3375,AC
(D1+D2) only,11,781,AC
(D1+D2+DU) only,1,0,AC
(D1+D2+DU) only,2,0,AC
(D1+D2+DU) only,3,0,AC
(D1+D2+DU) only,4,0,AC
(D1+D2+DU) only,5,1,AC
(D1+D2+DU) only,6,4,AC
(D1+D2+DU) only,7,1,AC
(D1+D2+DU) only,8,0,AC
(D1+D2+DU) only,9,0,AC
(D1+D2+DU) only,10,0,AC
(D1+D2+DU) only,11,0,AC
(D1+D2+R) only,1,0,AC
(D1+D2+R) only,2,1,AC
(D1+D2+R) only,3,331,AC
(D1+D2+R) only,4,14206,AC
(D1+D2+R) only,5,18925,AC
(D1+D2+R) only,6,21563,AC
(D1+D2+R) only,7,19030,AC
(D1+D2+R) only,8,20309,AC
(D1+D2+R) only,9,11135,AC
(D1+D2+R) only,10,3554,AC
(D1+D2+R) only,11,729,AC
(D1+DU) only,1,0,AC
(D1+DU) only,2,0,AC
(D1+DU) only,3,0,AC
(D1+DU) only,4,5,AC
(D1+DU) only,5,5,AC
(D1+DU) only,6,3,AC
(D1+DU) only,7,1,AC
(D1+DU) only,8,2,AC
(D1+DU) only,9,0,AC
(D1+DU) only,10,0,AC
(D1+DU) only,11,0,AC
(D1+R) only,1,0,AC
(D1+R) only,2,0,AC
(D1+R) only,3,176,AC
(D1+R) only,4,784,AC
(D1+R) only,5,732,AC
(D1+R) only,6,721,AC
(D1+R) only,7,628,AC
(D1+R) only,8,790,AC
(D1+R) only,9,304,AC
(D1+R) only,10,97,AC
(D1+R) only,11,20,AC
(D2+DU) only,1,0,AC
(D2+DU) only,2,0,AC
(D2+DU) only,3,0,AC
(D2+DU) only,4,39,AC
(D2+DU) only,5,23,AC
(D2+DU) only,6,10,AC
(D2+DU) only,7,3,AC
(D2+DU) only,8,0,AC
(D2+DU) only,9,0,AC
(D2+DU) only,10,11,AC
(D2+DU) only,11,2,AC
(D2+R+DU) only,1,0,AC
(D2+R+DU) only,2,0,AC
(D2+R+DU) only,3,0,AC
(D2+R+DU) only,4,3,AC
(D2+R+DU) only,5,4,AC
(D2+R+DU) only,6,0,AC
(D2+R+DU) only,7,0,AC
(D2+R+DU) only,8,0,AC
(D2+R+DU) only,9,0,AC
(D2+R+DU) only,10,2,AC
(D2+R+DU) only,11,0,AC
(R+DU) only,1,0,AC
(R+DU) only,2,0,AC
(R+DU) only,3,1,AC
(R+DU) only,4,1120,AC
(R+DU) only,5,1424,AC
(R+DU) only,6,516,AC
(R+DU) only,7,232,AC
(R+DU) only,8,36,AC
(R+DU) only,9,8,AC
(R+DU) only,10,2,AC
(R+DU) only,11,1,AC
D1 only,1,11,AC
D1 only,2,3379,AC
D1 only,3,27846,AC
D1 only,4,41688,AC
D1 only,5,21562,AC
D1 only,6,13892,AC
D1 only,7,7133,AC
D1 only,8,2920,AC
D1 only,9,1275,AC
D1 only,10,581,AC
D1 only,11,166,AC
DU only,1,0,AC
DU only,2,0,AC
DU only,3,12,AC
DU only,4,3233,AC
DU only,5,3266,AC
DU only,6,1459,AC
DU only,7,739,AC
