month,agegroup,dose,n,first_dose,UF
2022-02-01,3,D1,1,Janssen,AC
2022-02-01,4,D1,-665,Janssen,AC
2022-02-01,5,D1,-697,Janssen,AC
2022-02-01,6,D1,-231,Janssen,AC
2022-02-01,7,D1,-122,Janssen,AC
2022-02-01,8,D1,-18,Janssen,AC
2022-02-01,9,D1,-5,Janssen,AC
2022-02-01,10,D1,-2,Janssen,AC
2022-02-01,11,D1,0,Janssen,AC
2022-03-01,2,D1,0,Janssen,AC
2022-03-01,3,D1,1,Janssen,AC
2022-03-01,4,D1,-248,Janssen,AC
2022-03-01,5,D1,-317,Janssen,AC
2022-03-01,6,D1,-130,Janssen,AC
2022-03-01,7,D1,-52,Janssen,AC
2022-03-01,8,D1,-11,Janssen,AC
2022-03-01,9,D1,0,Janssen,AC
2022-03-01,10,D1,0,Janssen,AC
2022-03-01,11,D1,0,Janssen,AC
2022-04-01,2,D1,0,Janssen,AC
2022-04-01,3,D1,1,Janssen,AC
2022-04-01,4,D1,-122,Janssen,AC
2022-04-01,5,D1,-195,Janssen,AC
2022-04-01,6,D1,-58,Janssen,AC
2022-04-01,7,D1,-25,Janssen,AC
2022-04-01,8,D1,-8,Janssen,AC
2022-04-01,9,D1,-1,Janssen,AC
2022-04-01,10,D1,0,Janssen,AC
2022-04-01,11,D1,1,Janssen,AC
2022-05-01,2,D1,1,Janssen,AC
2022-05-01,3,D1,2,Janssen,AC
2022-05-01,4,D1,-16,Janssen,AC
2022-05-01,5,D1,-72,Janssen,AC
2022-05-01,6,D1,-32,Janssen,AC
2022-05-01,7,D1,-18,Janssen,AC
2022-05-01,8,D1,0,Janssen,AC
2022-05-01,9,D1,-1,Janssen,AC
2022-05-01,10,D1,1,Janssen,AC
2022-05-01,11,D1,0,Janssen,AC
2022-06-01,2,D1,0,Janssen,AC
2022-06-01,3,D1,6,Janssen,AC
2022-06-01,4,D1,2,Janssen,AC
2022-06-01,5,D1,-47,Janssen,AC
2022-06-01,6,D1,-4,Janssen,AC
2022-06-01,7,D1,-5,Janssen,AC
2022-06-01,8,D1,-2,Janssen,AC
2022-06-01,9,D1,-3,Janssen,AC
2022-06-01,10,D1,0,Janssen,AC
2022-06-01,11,D1,0,Janssen,AC
2022-07-01,2,D1,0,Janssen,AC
2022-07-01,3,D1,0,Janssen,AC
2022-07-01,4,D1,-4,Janssen,AC
2022-07-01,5,D1,-14,Janssen,AC
2022-07-01,6,D1,0,Janssen,AC
2022-07-01,7,D1,-9,Janssen,AC
2022-07-01,8,D1,-2,Janssen,AC
2022-07-01,9,D1,0,Janssen,AC
