vacina,agegroup,agegroup_10,data,doses,n
AZ,1,1,2021-07-29,R,0
AZ,1,1,2021-07-30,D1,1
AZ,1,1,2021-07-30,D2,1
AZ,1,1,2021-07-30,DU,0
AZ,1,1,2021-07-30,R,0
AZ,1,1,2021-08-06,D1,1
AZ,1,1,2021-08-06,D2,0
AZ,1,1,2021-08-06,DU,0
AZ,1,1,2021-08-06,R,0
AZ,1,1,2021-08-09,D1,2
AZ,1,1,2021-08-09,D2,0
AZ,1,1,2021-08-09,DU,0
AZ,1,1,2021-08-09,R,0
AZ,1,1,2021-08-16,D1,2
AZ,1,1,2021-08-16,D2,1
AZ,1,1,2021-08-16,DU,0
AZ,1,1,2021-08-16,R,0
AZ,1,1,2021-08-18,D1,2
AZ,1,1,2021-08-18,D2,0
AZ,1,1,2021-08-18,DU,0
AZ,1,1,2021-08-18,R,0
AZ,1,1,2021-08-20,D1,2
AZ,1,1,2021-08-20,D2,0
AZ,1,1,2021-08-20,DU,0
AZ,1,1,2021-08-20,R,0
AZ,1,1,2021-08-24,D1,0
AZ,1,1,2021-08-24,D2,1
AZ,1,1,2021-08-24,DU,0
AZ,1,1,2021-08-24,R,0
AZ,1,1,2021-08-26,D1,1
AZ,1,1,2021-08-26,D2,0
AZ,1,1,2021-08-26,DU,0
AZ,1,1,2021-08-26,R,0
AZ,1,1,2021-09-01,D1,0
AZ,1,1,2021-09-01,D2,1
AZ,1,1,2021-09-01,DU,0
AZ,1,1,2021-09-01,R,0
AZ,1,1,2021-09-03,D1,0
AZ,1,1,2021-09-03,D2,1
AZ,1,1,2021-09-03,DU,0
AZ,1,1,2021-09-03,R,0
AZ,1,1,2021-09-08,D1,0
AZ,1,1,2021-09-08,D2,1
AZ,1,1,2021-09-08,DU,0
AZ,1,1,2021-09-08,R,0
AZ,1,1,2021-09-10,D1,0
AZ,1,1,2021-09-10,D2,1
AZ,1,1,2021-09-10,DU,0
AZ,1,1,2021-09-10,R,0
AZ,1,1,2021-09-15,D1,0
AZ,1,1,2021-09-15,D2,1
AZ,1,1,2021-09-15,DU,0
AZ,1,1,2021-09-15,R,0
AZ,1,1,2021-09-27,D1,0
AZ,1,1,2021-09-27,D2,1
AZ,1,1,2021-09-27,DU,0
AZ,1,1,2021-09-27,R,0
AZ,1,1,2021-09-29,D1,0
AZ,1,1,2021-09-29,D2,1
AZ,1,1,2021-09-29,DU,0
AZ,1,1,2021-09-29,R,0
AZ,1,1,2021-10-06,D1,0
